;ds;SAPRFMADR26;SAPRFMADR20;SAPRFMADR23;SAPRFMADR16;SAPRFMADR19;SAPRFMADR21;SAPRFMADR17;SAPRFMADR18;SAPRFMADR24;SAPRFMADR25;total;tipo
0;2021-01-04;29.5700680717108;24.249772910239326;24.113157219782675;31.255857022157148;12.335917358994973;5.3613666405263025;11.214766026537859;0.5806919485376171;0.3336633326020463;2.714391977467152;141.7296525085559;historico
1;2021-01-11;37.22545999188141;15.781246841601737;18.25687505622672;31.086365057301492;14.25065735032863;3.513377566031089;40.9068708733635;0.8655954362280961;0.7990784009530757;3.006724747388473;165.6922513213042;historico
2;2021-01-18;44.46807900296242;43.58193870965778;35.293649713670604;42.94288007561696;16.51553780651085;11.166001114000593;47.7280982840378;0.39388419694666904;0.41212745647958726;2.168851692006561;244.67104805188984;historico
3;2021-01-25;45.572787371216904;32.37452225244011;27.686895468760156;37.170061458700914;17.125149632518255;7.399773848261234;43.202246505707656;1.963044033818122;0.4350833681706712;1.7283714628971816;214.65793540249118;historico
4;2021-02-01;28.24153944071108;30.911014347458575;24.01528707084967;37.61040795712554;16.481210691141055;4.377455401450152;41.845344716027164;1.132338186783335;0.5579747779077402;1.5595377241222241;186.73211031357653;historico
5;2021-02-08;33.32702797290294;29.864714272423512;24.535236680242896;40.72833402053003;24.68757884189245;3.720428305668898;15.249132763511362;2.096372652108932;0.49871115311031927;0.4666346028990024;175.17417126529037;historico
6;2021-02-15;41.3009073428709;21.854850708636107;35.77841965963756;34.67393801386599;12.691161999291921;6.030852088916342;13.154858668880847;1.0175716849736154;0.24923802523721914;1.279344042632711;168.03114223494322;historico
7;2021-02-22;17.690007170010848;9.345828135624146;22.797597966897715;2.7527789693610902;0.7852276273158214;1.6482607531261955;29.067926812798547;0.0;0.20050967333480071;3.5127433757868536;87.80088048425603;historico
8;2021-03-01;33.435675410614635;22.48599447278651;33.74428523960262;27.590254309972835;12.595913331602809;5.582347349897936;17.193114294743236;0.9025107334977369;0.5593095329589161;1.3812567376309763;155.4706614133082;historico
9;2021-03-08;42.002511267650576;31.078081505511758;34.19180297827988;29.31432885700243;18.837822394162302;6.8195470000529825;24.38196067811936;2.5259801060213256;0.3536638113742953;2.3829187007065453;191.88861729888148;historico
10;2021-03-15;29.272983031799285;27.818235262706047;21.70779390027266;26.666242765581906;9.408446804015094;5.806505419168268;16.63421557727818;2.3804167511969876;0.4187439081181928;2.629813750060068;142.74339717019666;historico
11;2021-03-22;38.049399037521844;32.027749047526584;31.760665119441104;34.18390527637409;22.141367811251452;7.633517622757999;20.91455992221881;7.609150655698935;0.6317644852533382;32.08019836041575;227.03227733845992;historico
12;2021-03-29;25.439528035162375;22.2780602013027;26.167685912422385;22.38354237663987;12.000364620117152;4.149162322602146;20.780492230409713;2.253142081975192;0.0911406775751943;10.34605548235983;145.88917394056654;historico
13;2021-04-05;39.70163652886227;32.5192766378301;40.798343945949746;36.86502929723744;15.68803928284192;5.245599453929769;24.13218452563709;4.075935496020565;0.35839170603099807;1.121645813263206;200.5060826876031;historico
14;2021-04-12;41.80668325151356;26.056251163147177;26.71592314712428;33.24416043564739;14.993221297019716;5.517081695968484;7.591049458803407;1.671450417080611;0.5105849972382431;0.53345468337841;158.63986054692128;historico
15;2021-04-19;48.39386623069515;32.86626928540938;33.51679865085491;39.46388703691045;22.67838929898163;4.627927397240627;17.794284548337785;0.763048289725308;0.6802962605866174;1.1404717287907964;201.92523872753264;historico
16;2021-04-26;14.879822708098729;38.19147993080091;46.594350516571616;35.142282958667145;15.406521255465266;5.657571822614362;7.322914075185217;1.0253154397225601;0.8062045309402655;1.674191058071004;166.7006542961371;historico
17;2021-05-03;32.16808839598643;22.277799210439415;26.529030172266555;24.099292584739878;9.784042176470301;4.229790024996094;0.3005851267972746;2.67131616036164;0.3494346872397766;0.6195516940765113;123.02893023337387;historico
18;2021-05-10;33.11317551407709;21.539877725363716;43.4719462399147;26.121856294673997;14.469653874111284;4.240026111987387;1.7591048651077767;0.8204559396436211;0.36917827780118645;0.32733713837740686;146.23261198105814;historico
19;2021-05-17;53.29499918717129;26.49736661148465;45.82818679070061;30.426748552700065;9.171076712043352;5.141597618368926;1.222834097871397;2.793480813278166;0.9041604929300516;0.3925455505841412;175.67299642713263;historico
20;2021-05-24;34.015637846152394;25.626044220189655;28.727597730212068;25.88394033825045;15.486601273887217;6.333512243661957;0.0;1.2852540831047852;0.6825067943416648;0.656013025108237;138.69710755490843;historico
