;linea;RMSE;MAE
0;SAPRFMADR26;24.50407855388714;19.620217451604667
1;SAPRFMADR20;10.289475626937058;8.249354061721249
2;SAPRFMADR23;18.054166781191704;16.114172228749673
3;SAPRFMADR16;11.350899031977097;9.083415983728951
4;SAPRFMADR19;6.66911637225576;5.7951369264286905
5;SAPRFMADR21;2.8391133204026606;2.268269557404071
6;SAPRFMADR18;5.585838397477211;4.296037386313988
7;SAPRFMADR24;0.46534734150587254;0.3890730073605305
8;SAPRFMADR25;3.5956280487156715;3.12101030695374
9;total;45.461958324663065;39.39258950642379
