;linea;RMSE;MAE
0;SAPRFMADR26;26.92743004195559;20.732910433305083
1;SAPRFMADR20;7.425283218336547;6.006772154445764
2;SAPRFMADR23;18.20577936516763;16.18153677748049
3;SAPRFMADR16;15.642988949860312;13.505682613173946
4;SAPRFMADR19;6.010088247401324;4.823555335430725
5;SAPRFMADR21;2.7191319639399807;2.084765001821153
6;SAPRFMADR18;6.196940138839592;4.6604144175598865
7;SAPRFMADR24;0.5419309055748192;0.46424470045558197
8;SAPRFMADR25;3.0385524572069613;2.576372223745844
9;total;41.97198759716643;37.07313164137026
