;linea;RMSE;MAE
0;SAPRFMADR26;27.58843204225828;21.76310304083531
1;SAPRFMADR20;7.332956070001806;6.057500909712825
2;SAPRFMADR23;17.54932082843709;15.503485082738568
3;SAPRFMADR16;13.959596532788849;11.376997184502159
4;SAPRFMADR19;5.624331222084493;4.561621135019466
5;SAPRFMADR21;2.997225682790333;2.4781291103002263
6;SAPRFMADR18;5.269989576460601;4.037673523368569
7;SAPRFMADR24;0.39528011859895174;0.33787251945157026
8;SAPRFMADR25;3.7056031135651533;3.180461840018223
9;total;49.84132121461463;42.31628100082015
